DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2026-04-09 13:33:46,50,1203,0,83.305,65.733,601.5,650.965,391555.5,0,0,0.633,82.612,GET /api/v1/products (list),956,0,82.643,65.86,478,763.144,364783,0,0,0.635,83.668,GET /api/v1/products/{id} (detail),247,0,85.866,65.175,123.5,216.781,26772.5,0,0,0.623,78.522
2026-04-09 13:33:48,50,1137,0,87.797,66.783,568.5,654.42,372038,0,0,0.691,87.175,GET /api/v1/products (list),924,0,85.857,67.279,462,755.32,348958,0,0,0.696,84.656,GET /api/v1/products/{id} (detail),213,0,96.211,63.906,106.5,216.714,23080,0,0,0.671,98.103
2026-04-09 13:33:50,50,1196,0,83.068,66.728,598,661.787,395748.5,0,0,0.732,82.492,GET /api/v1/products (list),961,0,83.24,68.108,480.5,770.684,370313.5,0,0,0.74,83.711,GET /api/v1/products/{id} (detail),235,0,82.362,60.754,117.5,216.468,25435,0,0,0.702,77.506
2026-04-09 13:33:52,50,1204,0,83.781,64.933,602,636.075,382917,0,0,0.733,83.199,GET /api/v1/products (list),953,0,82.171,65.166,476.5,746.53,355721.5,0,0,0.73,82.701,GET /api/v1/products/{id} (detail),251,0,89.892,63.672,125.5,216.697,27195.5,0,0,0.741,85.092
2026-04-09 13:33:54,50,1232,0,81.13,60.23,616,658.377,405560,0,0,0.718,80.477,GET /api/v1/products (list),991,0,79.194,60.317,495.5,765.862,379484.5,0,0,0.728,78.119,GET /api/v1/products/{id} (detail),241,0,89.091,59.211,120.5,216.394,26075.5,0,0,0.68,90.174
2026-04-09 13:33:56,50,1269,0,78.243,61.329,634.5,657.373,417103,0,0,0.708,77.638,GET /api/v1/products (list),1029,0,76.752,60.793,514.5,760.19,391118,0,0,0.715,74.982,GET /api/v1/products/{id} (detail),240,0,84.638,63.179,120,216.542,25985,0,0,0.675,89.025
2026-04-09 13:33:58,50,1261,0,79.389,61.507,630.5,662.784,417885,0,0,0.653,78.787,GET /api/v1/products (list),1022,0,79.017,61.299,511,767.159,392018,0,0,0.649,78.06,GET /api/v1/products/{id} (detail),239,0,80.983,62.365,119.5,216.46,25867,0,0,0.669,81.895
2026-04-09 13:34:00,50,1226,0,81.069,66.632,613,696.029,426666,0,0,0.583,80.516,GET /api/v1/products (list),996,0,79.044,65.296,498,806.807,401790,0,0,0.58,79.205,GET /api/v1/products/{id} (detail),230,0,89.839,71.476,115,216.313,24876,0,0,0.596,86.196
2026-04-09 13:34:02,50,1212,0,82.993,66.527,606,689.776,418004,0,0,0.662,82.413,GET /api/v1/products (list),972,0,82.586,66.131,486,806.639,392026.5,0,0,0.655,81.923,GET /api/v1/products/{id} (detail),240,0,84.642,68.082,120,216.479,25977.5,0,0,0.688,84.396
2026-04-09 13:34:04,50,1244,0,80.326,62.318,622,687.48,427612.5,0,0,0.675,79.641,GET /api/v1/products (list),1004,0,78.811,62.069,502,800.064,401632,0,0,0.671,78.618,GET /api/v1/products/{id} (detail),240,0,86.662,62.952,120,216.504,25980.5,0,0,0.692,83.925
